Individual_ID,Family_ID,GOV_CODE,Governorate_Name,Gender,Age,Marital_Status,Region_Type,Family_Relation_Code,Family_Relation,Education_Status,EDU_CODE,Education_Level,Education_Dropout_Reason,Graduation_Year,SECTOR_CODE,Sector,EMP_CODE,Job_Classification_Code,Current_Job,Occupational_Category,Work_Nature,Contract_Type,Weekly_Hours,Social_Security_Status,Health_Insurance_Status,Paid_Leave_Benefit,Career_Start_Year,Has_Secondary_Job,Secondary_Job_Activity,Secondary_Weekly_Hours,Secondary_Monthly_Income,Place_Type,Has_Disability,Disability_General_Status,Sight_Difficulty,Hearing_Difficulty,Memory_Difficulty,Walking_Difficulty,Labor_Force_Status,Working_Hours_Change_Reason,COVID_WorkDays_Reduction,COVID_Salary_Reduction,Income_Reduction_Rate,Household_ID,Household_Region_Type,Survey_Station_ID,section_name ,Survey_Section_ID,Employment_Status,Is_Informal_Worker,Salary_Level_Classification,Willingness_To_Work,Primary_Search_Method,Secondary_Search_Method,Unemployment_Duration_Months,Non_Participation_Reason,Reason_For_Not_Searching,Availability_To_Start,Basic_Salary,Total_Monthly_Salary,Overtime_Hours,Contract_Duration,Work_Location_Type,Is_Establishment_Registered,Is_Establishment_Insured,Quarter_ID,AGE_GROUP,Age_Range,Professional_Training_Status,Annual_Weight,Normalized_Factor,Quarterly_Weight
D54DB380-59FC-47EB-9192-1D913E4D7F94,ECD824CA-1B08-4A37-8A8D-8105723CEE3A,21,الجيزة,ذكر,37,متزوج/ة,ريف,1,رئيس الأسرة,مؤهل جامعي,14.0,خريج أنهى الدراسة,,2007.0,1.0,حكومي,1,234103.0,مدرس رياضيات,تعليم وتدريب,يعمل لدى الغير بأجر,دائم,35,نعم,نعم,نعم,2008.0,لا,,,,,0,لا يعاني من صعوبات,لا يوجد صعوبة,لا يوجد صعوبة,لا يوجد صعوبة,لا يوجد صعوبة,داخل قوة العمل (يعمل أو يبحث),الأجر غير مجزٍ,لا,لا,28.0,ECD824CA-1B08-4A37-8A8D-8105723CEE3A,ريف,2116,مركز أوسيم,211606,يعمل,غير رسمي,متوسط,لا,,,,,,,3500,3500,13.0,من 3 شهور إلى 12 شهراً,داخل المنشأة,لا - غير مسجل,لا - غير مؤمن,2,سن العمل,30-34 سنة,لا - لم يلتحق,484.44570284098,0.339156426944103,1937.78281136392
CE98523F-DC80-466E-8D2B-E4625DDB1D1F,77A2A69A-A071-4745-B633-926BB37DC400,22,بني سويف,ذكر,39,متزوج/ة,ريف,1,رئيس الأسرة,ثانوي فني,12.0,خريج أنهى الدراسة,,2002.0,3.0,خاص (داخل المنشأة),1,312315.0,مشرف عام,عمال عامة ومساعدون,يعمل لدى الغير بأجر,دائم,35,نعم,نعم,نعم,2017.0,لا,,,,,0,لا يعاني من صعوبات,لا يوجد صعوبة,لا يوجد صعوبة,لا يوجد صعوبة,لا يوجد صعوبة,داخل قوة العمل (يعمل أو يبحث),ظروف العمل تقتضي ذلك,لا,لا,38.0,77A2A69A-A071-4745-B633-926BB37DC400,ريف,2202,مركز بنى سويف,220218,يعمل,غير رسمي,مرتفع,لا,,,,,,,7000,7000,6.0,أكثر من 36 شهراً,داخل المنشأة,نعم - مسجل رسمياً,نعم - مؤمن عليه,2,سن العمل,30-34 سنة,لا - لم يلتحق,327.728056958352,0.229439700167623,1310.91222783341
90309FC3-F9F9-4A40-979C-41D61B239D8F,95D5718E-FE60-4053-92B8-CFCC2CFA0633,14,القليوبية,ذكر,55,متزوج/ة,حضر,1,رئيس الأسرة,مؤهل جامعي,14.0,خريج أنهى الدراسة,,1991.0,3.0,خاص (داخل المنشأة),1,832205.0,سائق علي عربيه نص نقل,نقل ومواصلات,متدرب بأجر/أجر رمزي,,40,نعم,لا,,1995.0,لا,,,,,0,لا يعاني من صعوبات,لا يوجد صعوبة,لا يوجد صعوبة,لا يوجد صعوبة,لا يوجد صعوبة,داخل قوة العمل (يعمل أو يبحث),عدم وجود فرص عمل بالأيام الباقية,نعم - قلّت أيام العمل بسبب كورونا,لا,14.0,95D5718E-FE60-4053-92B8-CFCC2CFA0633,حضر,1408,مركز طوخ,140801,يعمل,غير رسمي,منخفض,لا,,,,,,,400,12000,11.0,أكثر من 36 شهراً,خارج المنشأة,نعم - مسجل رسمياً,نعم - مؤمن عليه,3,كبار موظفين,40-44 سنة,نعم - التحق بدورة تدريبية,427.236880377194,0.295410594668197,1708.94752150877
5F09F68C-F9F4-4D90-9DB5-239F9D8025CB,9E4B5274-C701-49E5-9902-550BE9902997,28,أسوان,أنثى,40,متزوج/ة,ريف,2,زوج/زوجة,ابتدائي,7.0,التحق ولم يكمل,العادات والتقاليد,,,غير موضح,3,,,لايوجد,,,0,,,,,,,,,,0,لا يعاني من صعوبات,لا يوجد صعوبة,لا يوجد صعوبة,لا يوجد صعوبة,لا يوجد صعوبة,خارج قوة العمل,,,,,9E4B5274-C701-49E5-9902-550BE9902997,ريف,2806,مركز دراو,280617,خارج قوة العمل,,,لا,,,,متفرغة للمنزل,مسؤوليات عائلية/الحمل/معارضة أحد أفراد الأسرة,لا,0,0,,,,,,2,سن العمل,30-34 سنة,لا - لم يلتحق,238.116917299103,0.16670368297728,952.467669196415
FDA6079D-6C34-489D-80A4-EA973E493D36,1D77BAC7-49D6-49D5-BA53-7952BAD44AC3,26,سوهاج,أنثى,15,أقل من 18 سنة,ريف,3,ابن/ابنة,ابتدائي,7.0,ملتحق حالياً,,,,غير موضح,3,,,لايوجد,,,0,,,,,,,,,,1,يعاني من صعوبات,بسيطة,مطلقة,لا يوجد صعوبة,كبيرة,خارج قوة العمل,,,,,1D77BAC7-49D6-49D5-BA53-7952BAD44AC3,ريف,2614,مركز طهطا,261408,خارج قوة العمل,,,لا,,,,طالـب متفــرغ,تم البحث سابقاً عن عمل بدون جدوى,لا,0,0,,,,,,1,شباب,20-24 سنة,نعم - التحق بدورة تدريبية,367.04893180483,0.258838772996603,1468.19572721932
034184D8-29B5-4B91-AEF5-B1134C5942C0,761AD391-3D63-4DFE-BEDE-96080E740F48,28,أسوان,ذكر,14,أقل من 18 سنة,ريف,3,ابن/ابنة,ابتدائي,7.0,ملتحق حالياً,,,,غير موضح,3,,,لايوجد,,,0,,,,,,,,,,0,لا يعاني من صعوبات,لا يوجد صعوبة,لا يوجد صعوبة,لا يوجد صعوبة,لا يوجد صعوبة,خارج قوة العمل,,,,,761AD391-3D63-4DFE-BEDE-96080E740F48,ريف,2806,مركز دراو,280611,خارج قوة العمل,,,لا,,,,طالـب متفــرغ,لا زال صغيراً على العمل,لا,0,0,,,,,,2,أطفال,15-19 سنة,لا - لم يلتحق,218.320373493781,0.152844286509356,873.281493975127
586D9016-0EC7-4D87-B55A-D961CCE66810,156C6913-932D-4554-A0FB-95AD53B80ABF,1,القاهرة,أنثى,37,مطلق/ة,حضر,3,ابن/ابنة,ثانوي فني,12.0,خريج أنهى الدراسة,,2005.0,3.0,خاص (داخل المنشأة),1,522322.0,بائعه منفذ مواد غذائيه,تجارة ومبيعات وتسويق,يعمل لدى الغير بأجر,مؤقت,40,لا,لا,لا,2020.0,لا,,,,,0,لا يعاني من صعوبات,لا يوجد صعوبة,لا يوجد صعوبة,لا يوجد صعوبة,لا يوجد صعوبة,داخل قوة العمل (يعمل أو يبحث),غياب مؤقت عن العمل,نعم - قلّت أيام العمل بسبب كورونا,لا,11.0,156C6913-932D-4554-A0FB-95AD53B80ABF,حضر,102,قسم حلوان,10204,يعمل,رسمي,متوسط,لا,,,,,,,2500,2500,16.0,أكثر من 36 شهراً,داخل المنشأة,لا - غير مسجل,نعم - مؤمن عليه,2,سن العمل,30-34 سنة,نعم - التحق بدورة تدريبية,471.932562055452,0.330396080647748,1887.73024822181
680CD244-6572-4963-A424-CCA4A0A9036E,6AA7FA88-B68E-41B5-97B7-F58BC3FD5A1E,25,أسيوط,أنثى,12,أقل من 18 سنة,ريف,3,ابن/ابنة,يقرأ ويكتب,4.0,ملتحق حالياً,,,,غير موضح,3,,,لايوجد,,,0,,,,,,,,,,0,لا يعاني من صعوبات,لا يوجد صعوبة,لا يوجد صعوبة,لا يوجد صعوبة,لا يوجد صعوبة,خارج قوة العمل,,,,,6AA7FA88-B68E-41B5-97B7-F58BC3FD5A1E,ريف,2511,مركز صدفا,251108,خارج قوة العمل,,,لا,,,,طالـب متفــرغ,الإصابة بمرض أو إعاقة جسدية,لا,0,0,,,,,,1,أطفال,15-19 سنة,لا - لم يلتحق,291.176747891965,0.205334563375253,1164.70699156786
FF4334AB-2A04-44D4-BE75-02BFE994BABD,2F98B765-9C33-434E-AF14-5701958C8C5B,19,الإسماعيلية,ذكر,18,أعزب/عزباء,ريف,3,ابن/ابنة,ثانوية عامة,9.0,ملتحق حالياً,,,,غير موضح,3,,,لايوجد,,,0,,,,,,,,,,0,لا يعاني من صعوبات,لا يوجد صعوبة,لا يوجد صعوبة,لا يوجد صعوبة,لا يوجد صعوبة,خارج قوة العمل,,,,,2F98B765-9C33-434E-AF14-5701958C8C5B,ريف,1908,قسم القنطرة شرق,190805,خارج قوة العمل,,,لا,,,,طالـب متفــرغ,عدم جدوى البحث (انتشار الواسطة والمحسوبية),نعم - مستعد للبدء خلال أسبوعين,0,0,,,,,,4,شباب,20-24 سنة,لا - لم يلتحق,245.121091374155,0.170345501072597,980.484365496621
82B89E9B-F782-4B02-80AC-1DED37494F4D,0A518B8E-3AE7-4564-BAC2-EA1B3F824046,14,القليوبية,أنثى,42,متزوج/ة,ريف,2,زوج/زوجة,ثانوي فني,12.0,خريج أنهى الدراسة,,1999.0,,غير موضح,3,,,لايوجد,,,0,,,,,,,,,,0,لا يعاني من صعوبات,لا يوجد صعوبة,لا يوجد صعوبة,لا يوجد صعوبة,لا يوجد صعوبة,خارج قوة العمل,,,,,0A518B8E-3AE7-4564-BAC2-EA1B3F824046,ريف,1403,مركز الخانكة,140304,خارج قوة العمل,,,نعم,,,,متفرغة للمنزل,عدم توفر فرص عمل في منطقة السكن,لا,0,0,,,,,,2,سن العمل,30-34 سنة,لا - لم يلتحق,358.57284428544,0.251033880482068,1434.29137714176
